...1,player_id,tournament_id,season_id,totalRating,countRating,goals,assists,goalsAssistsSum,yellowCards,directRedCards,redCards,minutesPlayed,matchesStarted,scoringFrequency,yellowRedCards,substitutionsIn,substitutionsOut,id,type,appearances,rating,bigChancesCreated,bigChancesMissed,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,tacklesWon,tacklesWonPercentage,totwAppearances,shotsFromInsideTheBox,shotsFromOutsideTheBox,team>name,team>nameCode,team>ranking,team>id
64903,984789,8,32501,6.9,1,0,1,1,0,0,0,50,1,0,0,NA,NA,589950,overall,1,6.9,1,0,19,6,25,76,11,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,12,13,7,0,2,0,35,0,0,0,0,0,Atlético Madrid,ATL,NA,2836
64906,984789,8,24127,33.5,5,0,0,0,1,0,0,326,4,0,0,NA,NA,283090,overall,5,6.7,0,0,100,32,132,75.75757575757599,60,43,16,4,2,33.333333333333,13,7,3,37.5,0,0,0,18,43.90243902439,2,33.333333333333,20,42.553191489362,0,0,0,0,0,0,0,0,0,0,0,0,3,25,1,0,0,4,3,8,0,0,7,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,8,27,4,0,0,0,12,0,0,0,73,67,51,2,2,0,218,7,53.846153846154,0,0,0,Atlético Madrid,ATL,NA,2836
65120,985329,8,24127,6.5,1,0,0,0,0,0,0,10,0,0,0,NA,NA,529052,overall,1,6.5,0,0,4,1,5,80,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,4,2,1,0,0,7,0,0,0,0,0,Osasuna,OSA,NA,2820
66175,989113,8,24127,6.5,1,0,0,0,0,0,0,12,0,0,0,NA,NA,239828,overall,1,6.5,0,0,1,1,2,50,0,1,1,0,0,0,0,0,0,0,1,0,1,1,50,0,0,1,33.333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,3,4,1,0,0,8,0,0,0,1,0,Atlético Madrid,ATL,NA,2836
66379,989522,8,24127,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,528232,overall,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Getafe,GET,NA,2859
66529,989878,8,24127,40,6,0,0,0,1,0,0,188,2,0,0,NA,NA,525058,overall,6,6.6666666666667,1,0,53,14,67,79.10447761194,14,41,27,5,7,70,3,1,2,50,3,3,0,16,48.484848484848,1,12.5,17,41.463414634146,0,0,0,0,0,0,0,0,0,0,0,0,2,50,0,0,0,5,7,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,4,24,7,0,0,0,4,0,0,0,19,52,28,1,6,3,110,1,33.333333333333,0,0,4,Espanyol,ESP,NA,2814
67149,126376,8,6559,0,0,0,0,0,0,0,0,204,2,NA,0,4,1,347907,overall,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sevilla,SEV,NA,2833
68214,127585,8,24127,233.7,34,1,2,3,10,0,0,2890,32,2890,0,NA,NA,187990,overall,34,6.8735294117647,2,1,1317,234,1551,84.91295938104399,961,356,61,4,1,50,44,52,0,0,8,3,5,53,57.608695652174,84,63.157894736842,137,60.888888888889,12.5,0,0,0,0,0,0,1,0,1,0,0,81,44.021739130435,141,0,0,2,9,27,0,0,14,0,18,0,0,10,0,0,0,0,34,8,0,0,0,0,0,0,0,4,2,0,88,49,0,0,0,184,42,0,0,1069,482,252,2,100,42,1899,27,61.363636363636,1,11,2,Celta Vigo,CEL,NA,2821
68215,127585,8,18020,215.7,31,3,0,3,2,0,1,2682,30,894,1,NA,NA,204086,overall,32,6.958064516129,1,1,1283,208,1491,86.049631120054,950,335,71,4,2,100,42,35,2,100,11,7,4,48,72.727272727273,70,58.823529411765,118,63.783783783784,27.272727272727,0,0,0,1,0,0,3,0,2,0,1,80,45.71428571428601,147,0,1,2,4,15,1,0,4,1,21,0,0,7,0,0,0,0,44,3,0,0,0,0,0,0,0,4,2,2,67,49,0,0,0,175,47,0,0,1035,458,220,1,69,32,1826,22,52.380952380952,2,NA,NA,Celta Vigo,CEL,NA,2821
68219,127585,8,32501,52.7,8,0,0,0,1,0,0,440,4,0,0,NA,NA,557836,overall,8,6.5875,0,0,150,53,203,73.891625615764,99,51,15,1,2,100,6,12,0,0,2,0,2,10,52.631578947368,13,76.470588235294,23,63.888888888889,0,0,0,0,0,0,0,0,0,0,0,0,8,27.586206896552,22,0,1,0,2,8,0,0,1,0,1,0,0,1,0,0,0,0,9,1,0,0,0,0,0,0,0,1,2,0,13,4,0,0,0,29,10,0,0,122,81,57,0,19,7,262,3,50,0,2,0,Celta Vigo,CEL,NA,2821
